order_id|order_pos|order_line_value|customer_country
INTEGER|INTEGER|INTEGER|STRING
0_C|1_C|2_C|3_C
===
0|0|1|"DE"
0|1|1|"DE"
0|2|1|"DE"
1|0|1|"DE"
1|1|1|"DE"
1|2|1|"DE"
1|3|1|"DE"
1|4|1|"DE"
1|5|1|"DE"
1|6|1|"DE"
1|7|1|"DE"
1|8|1|"DE"
1|9|1|"DE"
1|10|1|"DE"
1|11|1|"DE"
1|12|1|"DE"
1|13|1|"DE"
2|0|1|"DE"
2|1|1|"DE"
2|2|1|"DE"
2|3|1|"DE"
2|4|1|"DE"
2|5|1|"DE"
2|6|1|"DE"
2|7|1|"DE"
2|8|1|"DE"
2|9|1|"DE"
2|10|1|"DE"
3|0|1|"FR"
3|1|1|"FR"
3|2|1|"FR"
4|0|1|"DE"
4|1|1|"DE"
4|2|1|"DE"
4|3|1|"DE"
4|4|1|"DE"
4|5|1|"DE"
4|6|1|"DE"
4|7|1|"DE"
4|8|1|"DE"
4|9|1|"DE"
4|10|1|"DE"
4|11|1|"DE"
4|12|1|"DE"
4|13|1|"DE"
4|14|1|"DE"
5|0|1|"KG"
5|1|1|"KG"
5|2|1|"KG"
5|3|1|"KG"
6|0|1|"DE"
6|1|1|"DE"
6|2|1|"DE"
6|3|1|"DE"
6|4|1|"DE"
6|5|1|"DE"
6|6|1|"DE"
6|7|1|"DE"
6|8|1|"DE"
6|9|1|"DE"
6|10|1|"DE"
7|0|1|"ST"
7|1|1|"ST"
7|2|1|"ST"
7|3|1|"ST"
7|4|1|"ST"
8|0|1|"FR"
8|1|1|"FR"
8|2|1|"FR"
8|3|1|"FR"
8|4|1|"FR"
8|5|1|"FR"
8|6|1|"FR"
8|7|1|"FR"
8|8|1|"FR"
8|9|1|"FR"
8|10|1|"FR"
8|11|1|"FR"
8|12|1|"FR"
8|13|1|"FR"
8|14|1|"FR"
8|15|1|"FR"
8|16|1|"FR"
8|17|1|"FR"
9|0|1|"PL"
9|1|1|"PL"
9|2|1|"PL"
9|3|1|"PL"
9|4|1|"PL"
9|5|1|"PL"
9|6|1|"PL"
9|7|1|"PL"
9|8|1|"PL"
9|9|1|"PL"
9|10|1|"PL"
9|11|1|"PL"
9|12|1|"PL"
10|0|1|"DE"
10|1|1|"DE"
10|2|1|"DE"
10|3|1|"DE"
10|4|1|"DE"
10|5|1|"DE"
10|6|1|"DE"
10|7|1|"DE"
10|8|1|"DE"
10|9|1|"DE"
10|10|1|"DE"
10|11|1|"DE"
10|12|1|"DE"
10|13|1|"DE"
10|14|1|"DE"
10|15|1|"DE"
10|16|1|"DE"
10|17|1|"DE"
10|18|1|"DE"
10|19|1|"DE"
11|0|1|"DE"
11|1|1|"DE"
11|2|1|"DE"
11|3|1|"DE"
11|4|1|"DE"
12|0|1|"DE"
12|1|1|"DE"
13|0|1|"AQ"
13|1|1|"AQ"
13|2|1|"AQ"
13|3|1|"AQ"
13|4|1|"AQ"
13|5|1|"AQ"
13|6|1|"AQ"
13|7|1|"AQ"
13|8|1|"AQ"
13|9|1|"AQ"
13|10|1|"AQ"
14|0|1|"DE"
14|1|1|"DE"
14|2|1|"DE"
14|3|1|"DE"
14|4|1|"DE"
14|5|1|"DE"
14|6|1|"DE"
14|7|1|"DE"
14|8|1|"DE"
14|9|1|"DE"
14|10|1|"DE"
14|11|1|"DE"
14|12|1|"DE"
14|13|1|"DE"
14|14|1|"DE"
14|15|1|"DE"
14|16|1|"DE"
14|17|1|"DE"
14|18|1|"DE"
15|0|1|"DE"
15|1|1|"DE"
